pair_id,audio_a,audio_b,same_speaker,confidence_1_3,notes,annotator_id
SP031,dataset/ComParE2017_Cold_4students/wav/train_3397.wav,dataset/ComParE2017_Cold_4students/wav/train_1092.wav,,,,
SP032,dataset/ComParE2017_Cold_4students/wav/devel_7483.wav,dataset/ComParE2017_Cold_4students/wav/devel_1526.wav,,,,
SP033,dataset/ComParE2017_Cold_4students/wav/train_5856.wav,dataset/ComParE2017_Cold_4students/wav/train_0511.wav,,,,
SP034,dataset/ComParE2017_Cold_4students/wav/train_3189.wav,dataset/ComParE2017_Cold_4students/wav/train_4006.wav,,,,
SP035,dataset/ComParE2017_Cold_4students/wav/test_5111.wav,dataset/ComParE2017_Cold_4students/wav/test_3340.wav,,,,
SP036,dataset/ComParE2017_Cold_4students/wav/train_1978.wav,dataset/ComParE2017_Cold_4students/wav/train_8374.wav,,,,
SP037,dataset/ComParE2017_Cold_4students/wav/devel_2445.wav,dataset/ComParE2017_Cold_4students/wav/devel_0354.wav,,,,
SP038,dataset/ComParE2017_Cold_4students/wav/test_7623.wav,dataset/ComParE2017_Cold_4students/wav/test_0886.wav,,,,
SP039,dataset/ComParE2017_Cold_4students/wav/test_5943.wav,dataset/ComParE2017_Cold_4students/wav/test_0120.wav,,,,
SP040,dataset/ComParE2017_Cold_4students/wav/devel_2172.wav,dataset/ComParE2017_Cold_4students/wav/devel_4068.wav,,,,
SP041,dataset/ComParE2017_Cold_4students/wav/train_7762.wav,dataset/ComParE2017_Cold_4students/wav/train_6575.wav,,,,
SP042,dataset/ComParE2017_Cold_4students/wav/devel_7330.wav,dataset/ComParE2017_Cold_4students/wav/devel_0117.wav,,,,
SP043,dataset/ComParE2017_Cold_4students/wav/train_7744.wav,dataset/ComParE2017_Cold_4students/wav/train_3473.wav,,,,
SP044,dataset/ComParE2017_Cold_4students/wav/test_3855.wav,dataset/ComParE2017_Cold_4students/wav/test_4741.wav,,,,
SP045,dataset/ComParE2017_Cold_4students/wav/train_0436.wav,dataset/ComParE2017_Cold_4students/wav/train_8705.wav,,,,
SP046,dataset/ComParE2017_Cold_4students/wav/devel_5872.wav,dataset/ComParE2017_Cold_4students/wav/devel_1860.wav,,,,
SP047,dataset/ComParE2017_Cold_4students/wav/test_4562.wav,dataset/ComParE2017_Cold_4students/wav/test_3016.wav,,,,
SP048,dataset/ComParE2017_Cold_4students/wav/test_4581.wav,dataset/ComParE2017_Cold_4students/wav/test_9371.wav,,,,
SP049,dataset/ComParE2017_Cold_4students/wav/test_1095.wav,dataset/ComParE2017_Cold_4students/wav/test_7424.wav,,,,
SP050,dataset/ComParE2017_Cold_4students/wav/test_6250.wav,dataset/ComParE2017_Cold_4students/wav/test_7875.wav,,,,
SP051,dataset/ComParE2017_Cold_4students/wav/test_8566.wav,dataset/ComParE2017_Cold_4students/wav/test_4291.wav,,,,
SP052,dataset/ComParE2017_Cold_4students/wav/train_7806.wav,dataset/ComParE2017_Cold_4students/wav/train_5966.wav,,,,
SP053,dataset/ComParE2017_Cold_4students/wav/test_0144.wav,dataset/ComParE2017_Cold_4students/wav/test_6579.wav,,,,
SP054,dataset/ComParE2017_Cold_4students/wav/devel_5199.wav,dataset/ComParE2017_Cold_4students/wav/devel_0059.wav,,,,
SP055,dataset/ComParE2017_Cold_4students/wav/test_4783.wav,dataset/ComParE2017_Cold_4students/wav/test_4966.wav,,,,
SP056,dataset/ComParE2017_Cold_4students/wav/devel_9299.wav,dataset/ComParE2017_Cold_4students/wav/devel_5128.wav,,,,
SP057,dataset/ComParE2017_Cold_4students/wav/train_3529.wav,dataset/ComParE2017_Cold_4students/wav/train_3167.wav,,,,
SP058,dataset/ComParE2017_Cold_4students/wav/devel_7268.wav,dataset/ComParE2017_Cold_4students/wav/devel_5739.wav,,,,
SP059,dataset/ComParE2017_Cold_4students/wav/devel_4191.wav,dataset/ComParE2017_Cold_4students/wav/devel_4084.wav,,,,
SP060,dataset/ComParE2017_Cold_4students/wav/train_8281.wav,dataset/ComParE2017_Cold_4students/wav/train_5298.wav,,,,
SP061,dataset/ComParE2017_Cold_4students/wav/devel_1690.wav,dataset/ComParE2017_Cold_4students/wav/devel_3479.wav,,,,
SP062,dataset/ComParE2017_Cold_4students/wav/test_5778.wav,dataset/ComParE2017_Cold_4students/wav/test_2707.wav,,,,
SP063,dataset/ComParE2017_Cold_4students/wav/devel_3015.wav,dataset/ComParE2017_Cold_4students/wav/devel_1387.wav,,,,
SP064,dataset/ComParE2017_Cold_4students/wav/test_8810.wav,dataset/ComParE2017_Cold_4students/wav/test_5550.wav,,,,
SP065,dataset/ComParE2017_Cold_4students/wav/train_0889.wav,dataset/ComParE2017_Cold_4students/wav/train_3373.wav,,,,
SP066,dataset/ComParE2017_Cold_4students/wav/test_1837.wav,dataset/ComParE2017_Cold_4students/wav/test_0538.wav,,,,
SP067,dataset/ComParE2017_Cold_4students/wav/train_3375.wav,dataset/ComParE2017_Cold_4students/wav/train_1156.wav,,,,
SP068,dataset/ComParE2017_Cold_4students/wav/train_3123.wav,dataset/ComParE2017_Cold_4students/wav/train_6048.wav,,,,
SP069,dataset/ComParE2017_Cold_4students/wav/train_8011.wav,dataset/ComParE2017_Cold_4students/wav/train_9197.wav,,,,
SP070,dataset/ComParE2017_Cold_4students/wav/train_4080.wav,dataset/ComParE2017_Cold_4students/wav/train_4466.wav,,,,
SP071,dataset/ComParE2017_Cold_4students/wav/test_8267.wav,dataset/ComParE2017_Cold_4students/wav/test_0669.wav,,,,
SP072,dataset/ComParE2017_Cold_4students/wav/test_5595.wav,dataset/ComParE2017_Cold_4students/wav/test_8213.wav,,,,
SP073,dataset/ComParE2017_Cold_4students/wav/test_6954.wav,dataset/ComParE2017_Cold_4students/wav/test_6748.wav,,,,
SP074,dataset/ComParE2017_Cold_4students/wav/train_5662.wav,dataset/ComParE2017_Cold_4students/wav/train_3074.wav,,,,
SP075,dataset/ComParE2017_Cold_4students/wav/train_6480.wav,dataset/ComParE2017_Cold_4students/wav/train_3237.wav,,,,
SP076,dataset/ComParE2017_Cold_4students/wav/test_6355.wav,dataset/ComParE2017_Cold_4students/wav/test_8995.wav,,,,
SP077,dataset/ComParE2017_Cold_4students/wav/devel_4836.wav,dataset/ComParE2017_Cold_4students/wav/devel_7042.wav,,,,
SP078,dataset/ComParE2017_Cold_4students/wav/test_2718.wav,dataset/ComParE2017_Cold_4students/wav/test_9250.wav,,,,
SP079,dataset/ComParE2017_Cold_4students/wav/test_7598.wav,dataset/ComParE2017_Cold_4students/wav/test_4058.wav,,,,
SP080,dataset/ComParE2017_Cold_4students/wav/devel_4452.wav,dataset/ComParE2017_Cold_4students/wav/devel_7316.wav,,,,
SP081,dataset/ComParE2017_Cold_4students/wav/train_1467.wav,dataset/ComParE2017_Cold_4students/wav/train_4997.wav,,,,
SP082,dataset/ComParE2017_Cold_4students/wav/devel_3801.wav,dataset/ComParE2017_Cold_4students/wav/devel_1215.wav,,,,
SP083,dataset/ComParE2017_Cold_4students/wav/devel_7000.wav,dataset/ComParE2017_Cold_4students/wav/devel_2104.wav,,,,
SP084,dataset/ComParE2017_Cold_4students/wav/test_4872.wav,dataset/ComParE2017_Cold_4students/wav/test_3322.wav,,,,
SP085,dataset/ComParE2017_Cold_4students/wav/test_6290.wav,dataset/ComParE2017_Cold_4students/wav/test_1239.wav,,,,
SP086,dataset/ComParE2017_Cold_4students/wav/devel_4777.wav,dataset/ComParE2017_Cold_4students/wav/devel_5351.wav,,,,
SP087,dataset/ComParE2017_Cold_4students/wav/devel_8212.wav,dataset/ComParE2017_Cold_4students/wav/devel_1184.wav,,,,
SP088,dataset/ComParE2017_Cold_4students/wav/devel_1347.wav,dataset/ComParE2017_Cold_4students/wav/devel_2002.wav,,,,
SP089,dataset/ComParE2017_Cold_4students/wav/test_4367.wav,dataset/ComParE2017_Cold_4students/wav/test_4988.wav,,,,
SP090,dataset/ComParE2017_Cold_4students/wav/test_4250.wav,dataset/ComParE2017_Cold_4students/wav/test_6139.wav,,,,
SP091,dataset/ComParE2017_Cold_4students/wav/train_1422.wav,dataset/ComParE2017_Cold_4students/wav/train_1031.wav,,,,
SP092,dataset/ComParE2017_Cold_4students/wav/train_4313.wav,dataset/ComParE2017_Cold_4students/wav/train_6776.wav,,,,
SP093,dataset/ComParE2017_Cold_4students/wav/train_6234.wav,dataset/ComParE2017_Cold_4students/wav/train_4963.wav,,,,
SP094,dataset/ComParE2017_Cold_4students/wav/train_6399.wav,dataset/ComParE2017_Cold_4students/wav/train_2278.wav,,,,
SP095,dataset/ComParE2017_Cold_4students/wav/train_8895.wav,dataset/ComParE2017_Cold_4students/wav/train_4174.wav,,,,
SP096,dataset/ComParE2017_Cold_4students/wav/devel_8001.wav,dataset/ComParE2017_Cold_4students/wav/devel_3522.wav,,,,
SP097,dataset/ComParE2017_Cold_4students/wav/train_5685.wav,dataset/ComParE2017_Cold_4students/wav/train_2414.wav,,,,
SP098,dataset/ComParE2017_Cold_4students/wav/train_3657.wav,dataset/ComParE2017_Cold_4students/wav/train_4723.wav,,,,
SP099,dataset/ComParE2017_Cold_4students/wav/test_8056.wav,dataset/ComParE2017_Cold_4students/wav/test_0800.wav,,,,
SP100,dataset/ComParE2017_Cold_4students/wav/devel_5406.wav,dataset/ComParE2017_Cold_4students/wav/devel_0986.wav,,,,
SP101,dataset/ComParE2017_Cold_4students/wav/train_1162.wav,dataset/ComParE2017_Cold_4students/wav/train_9000.wav,,,,
SP102,dataset/ComParE2017_Cold_4students/wav/devel_6823.wav,dataset/ComParE2017_Cold_4students/wav/devel_8157.wav,,,,
SP103,dataset/ComParE2017_Cold_4students/wav/devel_7884.wav,dataset/ComParE2017_Cold_4students/wav/devel_4487.wav,,,,
SP104,dataset/ComParE2017_Cold_4students/wav/devel_7262.wav,dataset/ComParE2017_Cold_4students/wav/devel_9001.wav,,,,
SP105,dataset/ComParE2017_Cold_4students/wav/train_9177.wav,dataset/ComParE2017_Cold_4students/wav/train_4303.wav,,,,
SP106,dataset/ComParE2017_Cold_4students/wav/test_8899.wav,dataset/ComParE2017_Cold_4students/wav/test_6272.wav,,,,
SP107,dataset/ComParE2017_Cold_4students/wav/devel_3016.wav,dataset/ComParE2017_Cold_4students/wav/devel_7008.wav,,,,
SP108,dataset/ComParE2017_Cold_4students/wav/devel_2128.wav,dataset/ComParE2017_Cold_4students/wav/devel_4699.wav,,,,
SP109,dataset/ComParE2017_Cold_4students/wav/test_9078.wav,dataset/ComParE2017_Cold_4students/wav/test_5081.wav,,,,
SP110,dataset/ComParE2017_Cold_4students/wav/devel_0714.wav,dataset/ComParE2017_Cold_4students/wav/devel_6457.wav,,,,
SP111,dataset/ComParE2017_Cold_4students/wav/devel_0662.wav,dataset/ComParE2017_Cold_4students/wav/devel_3899.wav,,,,
SP112,dataset/ComParE2017_Cold_4students/wav/train_8500.wav,dataset/ComParE2017_Cold_4students/wav/train_4432.wav,,,,
SP113,dataset/ComParE2017_Cold_4students/wav/train_4222.wav,dataset/ComParE2017_Cold_4students/wav/train_5019.wav,,,,
SP114,dataset/ComParE2017_Cold_4students/wav/train_7668.wav,dataset/ComParE2017_Cold_4students/wav/train_7169.wav,,,,
SP115,dataset/ComParE2017_Cold_4students/wav/train_0270.wav,dataset/ComParE2017_Cold_4students/wav/train_2262.wav,,,,
SP116,dataset/ComParE2017_Cold_4students/wav/test_3538.wav,dataset/ComParE2017_Cold_4students/wav/test_9346.wav,,,,
SP117,dataset/ComParE2017_Cold_4students/wav/train_6649.wav,dataset/ComParE2017_Cold_4students/wav/train_8863.wav,,,,
SP118,dataset/ComParE2017_Cold_4students/wav/test_6349.wav,dataset/ComParE2017_Cold_4students/wav/test_2078.wav,,,,
SP119,dataset/ComParE2017_Cold_4students/wav/train_6876.wav,dataset/ComParE2017_Cold_4students/wav/train_1657.wav,,,,
SP120,dataset/ComParE2017_Cold_4students/wav/test_4967.wav,dataset/ComParE2017_Cold_4students/wav/test_4315.wav,,,,
SP121,dataset/ComParE2017_Cold_4students/wav/test_4814.wav,dataset/ComParE2017_Cold_4students/wav/test_6088.wav,,,,
SP122,dataset/ComParE2017_Cold_4students/wav/devel_7067.wav,dataset/ComParE2017_Cold_4students/wav/devel_9521.wav,,,,
SP123,dataset/ComParE2017_Cold_4students/wav/test_8216.wav,dataset/ComParE2017_Cold_4students/wav/test_2972.wav,,,,
SP124,dataset/ComParE2017_Cold_4students/wav/train_4496.wav,dataset/ComParE2017_Cold_4students/wav/train_5714.wav,,,,
SP125,dataset/ComParE2017_Cold_4students/wav/devel_8622.wav,dataset/ComParE2017_Cold_4students/wav/devel_2624.wav,,,,
SP126,dataset/ComParE2017_Cold_4students/wav/train_6811.wav,dataset/ComParE2017_Cold_4students/wav/train_7550.wav,,,,
SP127,dataset/ComParE2017_Cold_4students/wav/devel_4235.wav,dataset/ComParE2017_Cold_4students/wav/devel_1010.wav,,,,
SP128,dataset/ComParE2017_Cold_4students/wav/train_6984.wav,dataset/ComParE2017_Cold_4students/wav/train_5677.wav,,,,
SP129,dataset/ComParE2017_Cold_4students/wav/train_2779.wav,dataset/ComParE2017_Cold_4students/wav/train_8883.wav,,,,
SP130,dataset/ComParE2017_Cold_4students/wav/test_0337.wav,dataset/ComParE2017_Cold_4students/wav/test_5859.wav,,,,
SP131,dataset/ComParE2017_Cold_4students/wav/train_3779.wav,dataset/ComParE2017_Cold_4students/wav/train_0951.wav,,,,
SP132,dataset/ComParE2017_Cold_4students/wav/test_5575.wav,dataset/ComParE2017_Cold_4students/wav/test_1341.wav,,,,
SP133,dataset/ComParE2017_Cold_4students/wav/test_2722.wav,dataset/ComParE2017_Cold_4students/wav/test_3461.wav,,,,
SP134,dataset/ComParE2017_Cold_4students/wav/train_7307.wav,dataset/ComParE2017_Cold_4students/wav/train_8928.wav,,,,
SP135,dataset/ComParE2017_Cold_4students/wav/test_8859.wav,dataset/ComParE2017_Cold_4students/wav/test_6208.wav,,,,
SP136,dataset/ComParE2017_Cold_4students/wav/test_0977.wav,dataset/ComParE2017_Cold_4students/wav/test_4215.wav,,,,
SP137,dataset/ComParE2017_Cold_4students/wav/test_7406.wav,dataset/ComParE2017_Cold_4students/wav/test_2923.wav,,,,
SP138,dataset/ComParE2017_Cold_4students/wav/train_6161.wav,dataset/ComParE2017_Cold_4students/wav/train_3810.wav,,,,
SP139,dataset/ComParE2017_Cold_4students/wav/devel_6925.wav,dataset/ComParE2017_Cold_4students/wav/devel_7253.wav,,,,
SP140,dataset/ComParE2017_Cold_4students/wav/train_2418.wav,dataset/ComParE2017_Cold_4students/wav/train_4984.wav,,,,
SP141,dataset/ComParE2017_Cold_4students/wav/devel_8407.wav,dataset/ComParE2017_Cold_4students/wav/devel_4321.wav,,,,
SP142,dataset/ComParE2017_Cold_4students/wav/devel_2214.wav,dataset/ComParE2017_Cold_4students/wav/devel_4601.wav,,,,
SP143,dataset/ComParE2017_Cold_4students/wav/test_5403.wav,dataset/ComParE2017_Cold_4students/wav/test_2965.wav,,,,
SP144,dataset/ComParE2017_Cold_4students/wav/train_1679.wav,dataset/ComParE2017_Cold_4students/wav/train_4139.wav,,,,
SP145,dataset/ComParE2017_Cold_4students/wav/test_6387.wav,dataset/ComParE2017_Cold_4students/wav/test_8687.wav,,,,
SP146,dataset/ComParE2017_Cold_4students/wav/devel_8392.wav,dataset/ComParE2017_Cold_4students/wav/devel_1317.wav,,,,
SP147,dataset/ComParE2017_Cold_4students/wav/test_6447.wav,dataset/ComParE2017_Cold_4students/wav/test_8294.wav,,,,
SP148,dataset/ComParE2017_Cold_4students/wav/test_3961.wav,dataset/ComParE2017_Cold_4students/wav/test_1722.wav,,,,
SP149,dataset/ComParE2017_Cold_4students/wav/train_5652.wav,dataset/ComParE2017_Cold_4students/wav/train_0990.wav,,,,
SP150,dataset/ComParE2017_Cold_4students/wav/devel_1455.wav,dataset/ComParE2017_Cold_4students/wav/devel_6255.wav,,,,
SP151,dataset/ComParE2017_Cold_4students/wav/train_4354.wav,dataset/ComParE2017_Cold_4students/wav/train_5738.wav,,,,
SP152,dataset/ComParE2017_Cold_4students/wav/train_0121.wav,dataset/ComParE2017_Cold_4students/wav/train_2560.wav,,,,
SP153,dataset/ComParE2017_Cold_4students/wav/test_8001.wav,dataset/ComParE2017_Cold_4students/wav/test_0104.wav,,,,
SP154,dataset/ComParE2017_Cold_4students/wav/train_9285.wav,dataset/ComParE2017_Cold_4students/wav/train_3887.wav,,,,
SP155,dataset/ComParE2017_Cold_4students/wav/test_2210.wav,dataset/ComParE2017_Cold_4students/wav/test_6441.wav,,,,
SP156,dataset/ComParE2017_Cold_4students/wav/test_3860.wav,dataset/ComParE2017_Cold_4students/wav/test_8565.wav,,,,
SP157,dataset/ComParE2017_Cold_4students/wav/devel_5377.wav,dataset/ComParE2017_Cold_4students/wav/devel_0696.wav,,,,
SP158,dataset/ComParE2017_Cold_4students/wav/test_0057.wav,dataset/ComParE2017_Cold_4students/wav/test_6627.wav,,,,
SP159,dataset/ComParE2017_Cold_4students/wav/devel_9335.wav,dataset/ComParE2017_Cold_4students/wav/devel_0395.wav,,,,
SP160,dataset/ComParE2017_Cold_4students/wav/devel_1734.wav,dataset/ComParE2017_Cold_4students/wav/devel_1980.wav,,,,
SP161,dataset/ComParE2017_Cold_4students/wav/test_6674.wav,dataset/ComParE2017_Cold_4students/wav/test_2010.wav,,,,
SP162,dataset/ComParE2017_Cold_4students/wav/devel_8737.wav,dataset/ComParE2017_Cold_4students/wav/devel_0800.wav,,,,
SP163,dataset/ComParE2017_Cold_4students/wav/train_5279.wav,dataset/ComParE2017_Cold_4students/wav/train_3432.wav,,,,
SP164,dataset/ComParE2017_Cold_4students/wav/test_9547.wav,dataset/ComParE2017_Cold_4students/wav/test_0788.wav,,,,
SP165,dataset/ComParE2017_Cold_4students/wav/devel_1693.wav,dataset/ComParE2017_Cold_4students/wav/devel_8189.wav,,,,
SP166,dataset/ComParE2017_Cold_4students/wav/train_5165.wav,dataset/ComParE2017_Cold_4students/wav/train_0971.wav,,,,
SP167,dataset/ComParE2017_Cold_4students/wav/test_0801.wav,dataset/ComParE2017_Cold_4students/wav/test_8817.wav,,,,
SP168,dataset/ComParE2017_Cold_4students/wav/test_0673.wav,dataset/ComParE2017_Cold_4students/wav/test_3974.wav,,,,
SP169,dataset/ComParE2017_Cold_4students/wav/test_3874.wav,dataset/ComParE2017_Cold_4students/wav/test_0900.wav,,,,
SP170,dataset/ComParE2017_Cold_4students/wav/train_3565.wav,dataset/ComParE2017_Cold_4students/wav/train_4117.wav,,,,
SP171,dataset/ComParE2017_Cold_4students/wav/test_0253.wav,dataset/ComParE2017_Cold_4students/wav/test_4258.wav,,,,
SP172,dataset/ComParE2017_Cold_4students/wav/devel_8456.wav,dataset/ComParE2017_Cold_4students/wav/devel_4581.wav,,,,
SP173,dataset/ComParE2017_Cold_4students/wav/devel_2629.wav,dataset/ComParE2017_Cold_4students/wav/devel_8695.wav,,,,
SP174,dataset/ComParE2017_Cold_4students/wav/devel_0521.wav,dataset/ComParE2017_Cold_4students/wav/devel_8655.wav,,,,
SP175,dataset/ComParE2017_Cold_4students/wav/test_7331.wav,dataset/ComParE2017_Cold_4students/wav/test_3143.wav,,,,
SP176,dataset/ComParE2017_Cold_4students/wav/devel_5579.wav,dataset/ComParE2017_Cold_4students/wav/devel_4622.wav,,,,
SP177,dataset/ComParE2017_Cold_4students/wav/train_6025.wav,dataset/ComParE2017_Cold_4students/wav/train_9190.wav,,,,
SP178,dataset/ComParE2017_Cold_4students/wav/train_1486.wav,dataset/ComParE2017_Cold_4students/wav/train_8114.wav,,,,
SP179,dataset/ComParE2017_Cold_4students/wav/train_2624.wav,dataset/ComParE2017_Cold_4students/wav/train_3155.wav,,,,
SP180,dataset/ComParE2017_Cold_4students/wav/train_8017.wav,dataset/ComParE2017_Cold_4students/wav/train_7716.wav,,,,
SP181,dataset/ComParE2017_Cold_4students/wav/test_3431.wav,dataset/ComParE2017_Cold_4students/wav/test_0761.wav,,,,
SP182,dataset/ComParE2017_Cold_4students/wav/devel_0998.wav,dataset/ComParE2017_Cold_4students/wav/devel_1467.wav,,,,
SP183,dataset/ComParE2017_Cold_4students/wav/train_0182.wav,dataset/ComParE2017_Cold_4students/wav/train_3064.wav,,,,
SP184,dataset/ComParE2017_Cold_4students/wav/devel_8992.wav,dataset/ComParE2017_Cold_4students/wav/devel_7834.wav,,,,
SP185,dataset/ComParE2017_Cold_4students/wav/train_1280.wav,dataset/ComParE2017_Cold_4students/wav/train_8487.wav,,,,
SP186,dataset/ComParE2017_Cold_4students/wav/train_5114.wav,dataset/ComParE2017_Cold_4students/wav/train_8979.wav,,,,
SP187,dataset/ComParE2017_Cold_4students/wav/test_1572.wav,dataset/ComParE2017_Cold_4students/wav/test_8222.wav,,,,
SP188,dataset/ComParE2017_Cold_4students/wav/test_4578.wav,dataset/ComParE2017_Cold_4students/wav/test_5842.wav,,,,
SP189,dataset/ComParE2017_Cold_4students/wav/devel_7680.wav,dataset/ComParE2017_Cold_4students/wav/devel_8315.wav,,,,
SP190,dataset/ComParE2017_Cold_4students/wav/train_7277.wav,dataset/ComParE2017_Cold_4students/wav/train_6028.wav,,,,
SP191,dataset/ComParE2017_Cold_4students/wav/devel_6416.wav,dataset/ComParE2017_Cold_4students/wav/devel_6866.wav,,,,
SP192,dataset/ComParE2017_Cold_4students/wav/train_5318.wav,dataset/ComParE2017_Cold_4students/wav/train_1942.wav,,,,
SP193,dataset/ComParE2017_Cold_4students/wav/devel_9304.wav,dataset/ComParE2017_Cold_4students/wav/devel_4014.wav,,,,
SP194,dataset/ComParE2017_Cold_4students/wav/test_4924.wav,dataset/ComParE2017_Cold_4students/wav/test_5119.wav,,,,
SP195,dataset/ComParE2017_Cold_4students/wav/train_3198.wav,dataset/ComParE2017_Cold_4students/wav/train_8857.wav,,,,
SP196,dataset/ComParE2017_Cold_4students/wav/train_1366.wav,dataset/ComParE2017_Cold_4students/wav/train_6764.wav,,,,
SP197,dataset/ComParE2017_Cold_4students/wav/devel_5804.wav,dataset/ComParE2017_Cold_4students/wav/devel_2777.wav,,,,
SP198,dataset/ComParE2017_Cold_4students/wav/test_1190.wav,dataset/ComParE2017_Cold_4students/wav/test_8601.wav,,,,
SP199,dataset/ComParE2017_Cold_4students/wav/devel_0512.wav,dataset/ComParE2017_Cold_4students/wav/devel_8147.wav,,,,
SP200,dataset/ComParE2017_Cold_4students/wav/train_7954.wav,dataset/ComParE2017_Cold_4students/wav/train_2413.wav,,,,
SP201,dataset/ComParE2017_Cold_4students/wav/devel_4147.wav,dataset/ComParE2017_Cold_4students/wav/devel_7517.wav,,,,
SP202,dataset/ComParE2017_Cold_4students/wav/devel_1934.wav,dataset/ComParE2017_Cold_4students/wav/devel_7234.wav,,,,
SP203,dataset/ComParE2017_Cold_4students/wav/train_2650.wav,dataset/ComParE2017_Cold_4students/wav/train_5730.wav,,,,
SP204,dataset/ComParE2017_Cold_4students/wav/train_9018.wav,dataset/ComParE2017_Cold_4students/wav/train_5865.wav,,,,
SP205,dataset/ComParE2017_Cold_4students/wav/test_5758.wav,dataset/ComParE2017_Cold_4students/wav/test_3844.wav,,,,
SP206,dataset/ComParE2017_Cold_4students/wav/test_1225.wav,dataset/ComParE2017_Cold_4students/wav/test_1885.wav,,,,
SP207,dataset/ComParE2017_Cold_4students/wav/train_7151.wav,dataset/ComParE2017_Cold_4students/wav/train_4553.wav,,,,
SP208,dataset/ComParE2017_Cold_4students/wav/train_8314.wav,dataset/ComParE2017_Cold_4students/wav/train_8831.wav,,,,
SP209,dataset/ComParE2017_Cold_4students/wav/test_7898.wav,dataset/ComParE2017_Cold_4students/wav/test_5937.wav,,,,
